"id";"bank_id";"name";"description";"mcc";"icon_filename";"og_id"
"21";"1";"Продукты";"Кэшбэк за покупки в продуктовых магазинах, супермаркетах и сервисах доставки - онлайн и офлайн";"5262, 5300, 5310, 5311, 5331, 5399, 5411, 5422, 5441, 5451, 5462, 5499, 7278, 9751, 3990";"supermarket_kv.png";""
"22";"1";"Такси";"Кэшбэк за оплату поездок в такси и чаевые водителям";"4121, 3990 при оплате картой Платежной системы «МИР» в экосистеме потребительских сервисов Яндекс";"taxi_kv.png";"179"
"23";"1";"Техника";"Кэшбэк за покупки в магазинах электроники и оплату услуг ремонта, сборки, монтажа электронного оборудования";"4812, 5044, 5045, 5065, 5722, 5732, 5978, 5997, 7379, 7622, 7623, 7629, 3990";"technic_kv.png";"180"
"24";"1";"Транспорт";"Кэшбэк за покупку ж/д билетов, оплату проезда в метро, наземном городском транспорте и пригородных поездах";"4011-4112, 4131, 4729, 4789, 3990";"transport_kv.png";"181"
"25";"1";"Фастфуд";"Кэшбэк за покупки в ресторанах быстрого питания";"5814, 3990";"fastfood_kv.png";"182"
"26";"1";"Фастфуд, кафе, рестораны";"Кэшбэк за покупки в ресторанах, кафе, барах и ресторанах быстрого питания (фастфуд)";"Фастфуд – 5814, 3990
Кафе и рестораны – 5811, 5812, 5813, 3990";"cafe_restor_kvadrat.png";""
"27";"1";"Цветы";"Кэшбэк за покупки в цветочных магазинах, салонах флористики и магазинах для садоводов ";"5193, 5992";"flowers_kv.png";"183"
"28";"1";"Цифровые товары";"Кэшбэк за оплату подписок на онлайн-сервисы, кино и музыку ";"5734, 5735, 5815-5818";"digital_kv.png";""
"29";"1";"Ювелирные изделия";"Кэшбэк за покупки в ювелирных магазинах";"5094, 5944";"jewelry_kv.png";""
"30";"1";"Яндекс Еда";"Покупки в приложении сервиса доставки Яндекс Еда";"";"yandex-eda_logo.png";""
"31";"1";"Яндекс Плюс";"Оплата подписки на сервисе Яндекс Плюс
";"";"yandex_plus_logo.png";""
"32";"1";"За все покупки";"За любые покупки онлайн и офлайн вне категорий повышенного кэшбэка";"";"procent_kv.png";"186"
"33";"1";"KASSIR.RU";"Кэшбэк на покупки билетов на концерты, спектакли и другие мероприятия";"";"Kassirru_360x360_kv.png";""
"34";"1";"Яндекс Такси";"";"";"yandex_300x300.png";""
"35";"1";"Маркетплейсы";"Кэшбэк за покупки на Ozon, Wildberries и других площадках ";"5262, 5300, 5399, 3990, 3991, 5964";"Marketplace_zvet.png";""
"36";"1";"Сервис Заправки";"Кэшбэк за оплату топлива только через сервис Заправки в мобильном приложении Альфа-Банка";"";"azs_kv.png";"385"
"37";"1";"Деливери";"Кэшбек за покупки в сервисе доставки еды. Максимально можно получить 300₽";"";"";""
"38";"1";"Сервис Маркет";"Кэшбэк за оплату покупок только через сервис Маркет в мобильном приложении Альфа-Банка";"";"";""
"39";"1";"Сервис Афиша";"Кэшбэк за покупки в партнерском сервисе в Альфа Мобайл для оплаты билетов на мероприятия";"7922";"";""
"40";"1";"Медицинские услуги";"Кэшбэк за оплату услуг больниц, поликлиник, стоматологий, клиник лазерной коррекции зрения и других медицинских учреждений";"4119, 5047, 8011, 8031, 8041, 8042, 8043, 8049, 8050, 8062, 8071, 8099, 8021";"";""
"41";"1";"Товары для здоровья";"Кэшбэк за покупки в салонах оптики и магазинах ортопедических товаров ";"5975, 5976, 8044";"";""
"42";"1";"Автозапчасти";"Кэшбэк за покупку автозапчастей, шин и автоаксессуаров";"5013, 5271, 5511, 5531, 5532, 5533";"";"588"
"43";"1";"Автоуслуги";"Кэшбэк за оплату услуг автосервисов, шиномонтажей, малярных мастерских, эвакуаторов, а также за оплату проезда по платным дорогам и парковки";"7531, 7534, 7535, 7538, 7549, 4784, 7511, 7523, 7542";"";""
"44";"1";"Культура и искусство";"Кэшбэк за покупки в музеях, кинотеатрах, на выставках, в магазинах звукозаписи и других местах культурного досуга и развлечений";"5970, 5971, 5972, 7911, 7922, 7991, 7829, 7832, 7841, 5733, 5735, 7929";"";"577"
"45";"1";"Алкоголь";"Кэшбэк за покупки в магазинах с продажей спиртных напитков навынос";"5921";"";""
"46";"1";"Хобби";"Кэшбэк за покупки в магазинах товаров для хобби, рукоделия, фото- и видеотехники, в компьютерных клубах";"5946, 5947, 5949, 5998, 7221, 7395, 7993, 7994";"";""
"47";"1";"Активный отдых";"Кэшбэк за покупки в спортивных клубах, парках аттракционов и других местах для отдыха и развлечений";"7032, 7932, 7933, 7996, 7998, 7999, 7941, 7992, 7997";"";"622"
"48";"1";"Аксессуары";"Кэшбэк за оплату услуг по чистке и ремонту аксессуаров, а также за покупку аксессуаров из кожи";"5948, 7251, 7631";"";""
"49";"1";"Детские товары";"Кэшбэк за покупки в магазинах детской одежды и игрушек";"5641, 5945";"";""
"50";"1";"Здоровье";"Кэшбэк за покупки в аптеках, профильных медицинских магазинах и медицинских учреждениях";"4119, 5047, 5122, 5912, 5975, 5976, 8011, 8021, 8031, 8041, 8042, 8043, 8044, 8049, 8050, 8062, 8071, 8099";"";""
